Year;Temp[C];Rain[mm];M;Month
1877;-1.5;84.1;1;Jan
1878;-5.9;25.7;1;Jan
1879;-5.9;206.2;1;Jan
1880;-7.1;96.0;1;Jan
1881;-4.6;173.0;1;Jan
1882;-3.9;72.1;1;Jan
1883;-5.7;57.8;1;Jan
1884;-5.7;63.7;1;Jan
1885;-7.6;69.9;1;Jan
1886;-6.4;80.9;1;Jan
1887;-6.1;107.2;1;Jan
1888;-5.5;70.3;1;Jan
1889;-7.8;74.5;1;Jan
1890;-7.0;28.6;1;Jan
1891;-7.6;66.1;1;Jan
1892;-7.0;61.0;1;Jan
1893;-7.2;66.6;1;Jan
1894;-7.0;29.3;1;Jan
1895;-8.9;66.8;1;Jan
1896;-5.9;78.7;1;Jan
1897;-6.4;41.4;1;Jan
1898;-5.6;48.0;1;Jan
1899;-4.9;63.5;1;Jan
1900;-7.6;74.6;1;Jan
1901;-5.4;108.0;1;Jan
1902;-7.5;60.5;1;Jan
1903;-2.7;93.8;1;Jan
1904;-7.6;83.0;1;Jan
1905;-3.3;62.6;1;Jan
1906;-7.1;82.0;1;Jan
1907;-5.4;75.2;1;Jan
1908;-8.5;98.3;1;Jan
1909;-9.4;44.1;1;Jan
1910;-4.9;56.8;1;Jan
1911;-6.4;56.1;1;Jan
1912;-5.7;81.0;1;Jan
1913;-8.7;54.1;1;Jan
1914;-3.3;182.2;1;Jan
1915;-6.9;100.5;1;Jan
1916;-3.8;61.9;1;Jan
1917;-6.6;142.6;1;Jan
1918;-6.0;207.4;1;Jan
1919;-7.0;80.3;1;Jan
1920;-2.0;187.4;1;Jan
1921;-6.1;93.2;1;Jan
1922;-10.2;101.8;1;Jan
1923;-7.1;81.0;1;Jan
1924;-6.3;64.5;1;Jan
1925;-5.4;76.1;1;Jan
1926;-6.2;125.8;1;Jan
1927;-5.8;62.0;1;Jan
1928;-5.2;121.6;1;Jan
1929;-7.0;223.9;1;Jan
1930;-7.2;89.0;1;Jan
1931;-7.7;98.5;1;Jan
1932;-2.5;43.8;1;Jan
1933;-6.8;67.3;1;Jan
1934;-4.9;55.4;1;Jan
1935;-5.4;78.2;1;Jan
1936;-6.0;113.0;1;Jan
1937;-5.4;58.7;1;Jan
1938;-5.9;64.3;1;Jan
1939;-7.8;159.4;1;Jan
1940;-7.3;93.0;1;Jan
1941;-5.4;121.4;1;Jan
1942;-7.1;72.4;1;Jan
1943;-5.6;75.8;1;Jan
1944;-6.4;182.6;1;Jan
1945;-8.8;119.7;1;Jan
1946;-5.3;222.4;1;Jan
1947;-4.4;73.3;1;Jan
1948;-2.4;122.7;1;Jan
1949;-1.9;127.1;1;Jan
1950;-4.8;115.4;1;Jan
1951;-6.3;111.1;1;Jan
1952;-4.8;98.0;1;Jan
1953;-6.6;107.2;1;Jan
1954;-5.4;178.1;1;Jan
1955;-5.8;188.7;1;Jan
1956;-5.2;94.6;1;Jan
1957;-4.2;96.2;1;Jan
1958;-3.8;190.0;1;Jan
1959;-5.4;98.6;1;Jan
1960;-6.2;111.3;1;Jan
1961;-6.2;72.4;1;Jan
1962;-3.6;135.3;1;Jan
1963;-4.7;68.2;1;Jan
1964;-3.8;98.1;1;Jan
1965;-2.8;105.2;1;Jan
1966;-4.7;181.0;1;Jan
1967;-6.3;96.4;1;Jan
1968;-3.4;103.0;1;Jan
1969;-5.5;69.5;1;Jan
1970;-5.9;106.0;1;Jan
1971;-5.0;108.5;1;Jan
1972;-3.9;148.5;1;Jan
1973;-2.7;87.5;1;Jan
1974;-3.3;99.0;1;Jan
1975;-4.2;85.0;1;Jan
1976;-4.1;109.0;1;Jan
1977;-7.5;94.0;1;Jan
1978;-5.2;168.0;1;Jan
1979;-5.3;103.5;1;Jan
1980;-3.9;97.0;1;Jan
1981;-4.9;162.0;1;Jan
1982;-4.4;122.0;1;Jan
1983;-2.9;64.0;1;Jan
1984;-4.7;70.5;1;Jan
1985;-6.9;156.5;1;Jan
1986;-5.8;121.0;1;Jan
1987;-4.9;119.0;1;Jan
1988;-3.8;76.0;1;Jan
1989;-1.9;60.0;1;Jan
1990;-4.9;138.0;1;Jan
1991;-1.2;182.0;1;Jan
1992;-2.4;68.5;1;Jan
1993;-1.7;98.0;1;Jan
1994;-4.7;77.5;1;Jan
1995;-3.3;124.0;1;Jan
1996;-3.7;157.0;1;Jan
1997;-2.5;49.5;1;Jan
1998;-5.9;108.5;1;Jan
1999;-3.2;135.0;1;Jan
2000;-3.1;131.5;1;Jan
2001;-5.7;71.0;1;Jan
2002;-2.5;150.0;1;Jan
2003;-3.6;104.0;1;Jan
2004;-2.5;139.0;1;Jan
2005;-3.5;153.5;1;Jan
2006;-4.1;132.0;1;Jan
2007;-1.8;112.0;1;Jan
2008;-4.3;111.0;1;Jan
2009;-1.3;103.0;1;Jan
2010;-2.0;112.0;1;Jan
2011;-3.8;120.0;1;Jan
2012;-4.5;71.5;1;Jan
2013;-4.7;101.5;1;Jan
2014;-4.1;111.5;1;Jan
2015;-1.5;143.5;1;Jan
2016;-3.5;74.0;1;Jan
2017;-3.9;72.5;1;Jan
2018;-2.6;99.5;1;Jan
2019;-3.0;86.0;1;Jan
2020;-2.3;51.5;1;Jan
1877;-2.2;126.2;2;Feb
1878;-3.8;76.6;2;Feb
1879;-4.8;103.9;2;Feb
1880;-4.1;66.7;2;Feb
1881;-4.8;81.2;2;Feb
1882;-3.0;50.8;2;Feb
1883;-6.6;24.6;2;Feb
1884;-5.4;76.6;2;Feb
1885;-5.9;20.1;2;Feb
1886;-4.6;51.7;2;Feb
1887;-4.0;28.1;2;Feb
1888;-65;59.4;2;Feb
1889;-5.4;127.2;2;Feb
1890;-3.5;74.4;2;Feb
1891;-4.9;55.4;2;Feb
1892;-5.9;32.6;2;Feb
1893;-7.6;53.2;2;Feb
1894;-4.7;49.0;2;Feb
1895;-4.9;97.1;2;Feb
1896;-5.8;60.6;2;Feb
1897;-5.4;61.9;2;Feb
1898;-6.0;44.1;2;Feb
1899;-4.5;36.4;2;Feb
1900;-7.4;62.5;2;Feb
1901;-5.3;31.2;2;Feb
1902;-6.4;27.4;2;Feb
1903;-4.7;49.7;2;Feb
1904;-3.8;55.1;2;Feb
1905;-7.1;160.0;2;Feb
1906;-6.8;53.9;2;Feb
1907;-6.1;32.6;2;Feb
1908;-6.4;52.8;2;Feb
1909;-5.9;42.9;2;Feb
1910;-5.7;92.2;2;Feb
1911;-5.4;22.7;2;Feb
1912;-3.8;94.8;2;Feb
1913;-5.4;55.5;2;Feb
1914;-4.5;77.9;2;Feb
1915;-4.4;116.5;2;Feb
1916;-4.3;101.0;2;Feb
1917;-5.1;109.0;2;Feb
1918;-4.8;43.4;2;Feb
1919;-4.9;43.1;2;Feb
1920;-6.3;92.3;2;Feb
1921;-5.0;58.5;2;Feb
1922;-2.2;79.4;2;Feb
1923;-5.8;61.5;2;Feb
1924;-5.7;54.4;2;Feb
1925;-5.5;59.5;2;Feb
1926;-3.6;65.4;2;Feb
1927;-7.5;101.2;2;Feb
1928;-6.4;97.4;2;Feb
1929;-6.2;41.6;2;Feb
1930;-4.1;37.9;2;Feb
1931;-7.9;84.3;2;Feb
1932;-5.6;44.7;2;Feb
1933;-7.2;85.6;2;Feb
1934;-4.9;89.7;2;Feb
1935;-2.1;54.9;2;Feb
1936;-4.3;124.2;2;Feb
1937;-3.5;170.4;2;Feb
1938;-5.0;71.8;2;Feb
1939;-5.9;86.9;2;Feb
1940;-4.6;123.3;2;Feb
1941;-5.0;98.9;2;Feb
1942;-7.0;26.4;2;Feb
1943;-4.8;79.3;2;Feb
1944;-6.3;85.3;2;Feb
1945;-6.5;86.2;2;Feb
1946;-5.2;90.7;2;Feb
1947;-5.2;35.7;2;Feb
1948;-4.1;95.4;2;Feb
1949;-1.4;85.7;2;Feb
1950;-3.1;63.5;2;Feb
1951;-5.0;105.7;2;Feb
1952;-6.9;32.7;2;Feb
1953;-6.1;70.7;2;Feb
1954;-3.1;83.1;2;Feb
1955;-3.7;122.3;2;Feb
1956;-4.6;40.3;2;Feb
1957;-5.1;74.5;2;Feb
1958;-2.4;145.0;2;Feb
1959;-1.9;62.9;2;Feb
1960;-3.2;62.3;2;Feb
1961;-4.0;108.5;2;Feb
1962;-3.9;68.4;2;Feb
1963;-2.9;59.9;2;Feb
1964;-6.1;119.2;2;Feb
1965;-4.3;177.1;2;Feb
1966;-3.9;74.0;2;Feb
1967;-4.4;36.9;2;Feb
1968;-4.8;101.5;2;Feb
1969;-5.3;107.5;2;Feb
1970;-3.0;89.5;2;Feb
1971;-3.7;50.0;2;Feb
1972;-3.8;267.5;2;Feb
1973;-2.3;69.0;2;Feb
1974;-3.2;71.5;2;Feb
1975;-4.4;60.0;2;Feb
1976;-2.8;60.5;2;Feb
1977;-5.5;86.0;2;Feb
1978;-7.6;105.0;2;Feb
1979;-2.6;109.0;2;Feb
1980;-5.7;149.0;2;Feb
1981;-3.2;41.0;2;Feb
1982;-4.6;92.0;2;Feb
1983;-4.5;126.0;2;Feb
1984;-5.6;148.5;2;Feb
1985;-2.2;99.5;2;Feb
1986;-5.5;60.5;2;Feb
1987;-3.8;82.0;2;Feb
1988;-5.2;104.5;2;Feb
1989;-1.4;27.5;2;Feb
1990;-0.7;75.0;2;Feb
1991;-2.8;106.0;2;Feb
1992;-2.5;53.5;2;Feb
1993;-2.1;105.5;2;Feb
1994;-1.3;222.5;2;Feb
1995;-2.3;59.5;2;Feb
1996;-3.4;77.5;2;Feb
1997;-1.8;120.0;2;Feb
1998;-3.6;69.0;2;Feb
1999;-3.6;84.0;2;Feb
2000;-3.8;89.5;2;Feb
2001;-5.5;64.0;2;Feb
2002;-0.6;60.5;2;Feb
2003;-3.5;59.5;2;Feb
2004;-1.3;158.5;2;Feb
2005;-3.9;120.5;2;Feb
2006;-2.7;89.0;2;Feb
2007;-1.5;111.5;2;Feb
2008;-3.4;111.0;2;Feb
2009;-2.2;143.0;2;Feb
2010;-3.2;59.5;2;Feb
2011;-1.1;69.5;2;Feb
2012;-4.4;57.0;2;Feb
2013;-4.0;117.0;2;Feb
2014;-3.5;89.0;2;Feb
2015;-0.8;59.5;2;Feb
2016;-2.3;109.5;2;Feb
2017;-2.0;57.5;2;Feb
2018;-4.2;43.0;2;Feb
2019;-2.6;32.5;2;Feb
2020;-2.1;157.0;2;Feb
1877;1.4;78.3;3;Mar
1878;-0.2;174.5;3;Mar
1879;-0.4;55.4;3;Mar
1880;0.0;84.7;3;Mar
1881;-2.3;74.8;3;Mar
1882;-0.9;69.2;3;Mar
1883;-3.6;28.4;3;Mar
1884;-3.4;62.1;3;Mar
1885;-2.5;50.2;3;Mar
1886;-0.3;20.0;3;Mar
1887;-1.0;85.8;3;Mar
1888;-1.1;60.9;3;Mar
1889;-1.6;85.1;3;Mar
1890;1.2;61.3;3;Mar
1891;1.7;33.4;3;Mar
1892;-3.9;96.5;3;Mar
1893;-1.5;18.7;3;Mar
1894;-0.9;83.1;3;Mar
1895;-3.7;89.8;3;Mar
1896;-3.3;59.2;3;Mar
1897;-2.7;28.3;3;Mar
1898;-5.6;74.5;3;Mar
1899;-1.5;69.9;3;Mar
1900;-3.0;64.8;3;Mar
1901;-1.5;78.9;3;Mar
1902;-0.6;31.4;3;Mar
1903;1.1;49.3;3;Mar
1904;-0.9;61.9;3;Mar
1905;-2.2;31.5;3;Mar
1906;-1.2;46.7;3;Mar
1907;-2.3;53.4;3;Mar
1908;-3.0;139.9;3;Mar
1909;-3.6;41.5;3;Mar
1910;-2.1;26.6;3;Mar
1911;-0.9;68.2;3;Mar
1912;-1.7;116.0;3;Mar
1913;-2.6;36.0;3;Mar
1914;1.2;88.7;3;Mar
1915;-2.2;71.1;3;Mar
1916;-3.1;43.0;3;Mar
1917;-1.8;40.1;3;Mar
1918;-0.8;81.0;3;Mar
1919;-1.1;72.3;3;Mar
1920;-0.2;45.0;3;Mar
1921;-1.7;42.7;3;Mar
1922;-2.5;55.7;3;Mar
1923;-0.3;50.8;3;Mar
1924;-4.3;70.7;3;Mar
1925;-3.6;80.7;3;Mar
1926;-1.1;83.3;3;Mar
1927;-1.5;43.8;3;Mar
1928;-0.4;40.1;3;Mar
1929;-1.7;68.5;3;Mar
1930;0.5;94.3;3;Mar
1931;-0.4;45.8;3;Mar
1932;-1.2;71.0;3;Mar
1933;-3.6;38.2;3;Mar
1934;-1.6;77.8;3;Mar
1935;-0.3;115.3;3;Mar
1936;-1.4;31.2;3;Mar
1937;-1.7;43.0;3;Mar
1938;0.0;36.9;3;Mar
1939;-1.2;99.2;3;Mar
1940;0.1;39.7;3;Mar
1941;-1.3;59.6;3;Mar
1942;0.1;90.0;3;Mar
1943;-1.0;63.3;3;Mar
1944;-1.2;43.1;3;Mar
1945;-1.3;74.9;3;Mar
1946;-2.8;74.9;3;Mar
1947;-1.4;87.7;3;Mar
1948;-0.4;54.0;3;Mar
1949;-2.1;106.4;3;Mar
1950;-0.4;78.3;3;Mar
1951;-1.2;76.5;3;Mar
1952;-1.4;46.2;3;Mar
1953;0.1;72.7;3;Mar
1954;-1.3;25.8;3;Mar
1955;-0.8;103.3;3;Mar
1956;0.0;100.7;3;Mar
1957;-1.9;69.1;3;Mar
1958;-0.5;75.1;3;Mar
1959;1.6;49.0;3;Mar
1960;-0.4;66.2;3;Mar
1961;0.0;72.2;3;Mar
1962;-0.9;91.8;3;Mar
1963;1.1;58.0;3;Mar
1964;0.2;38.0;3;Mar
1965;-1.2;95.4;3;Mar
1966;0.8;143.0;3;Mar
1967;0.6;89.3;3;Mar
1968;1.8;37.0;3;Mar
1969;-1.4;40.0;3;Mar
1970;-3.0;151.0;3;Mar
1971;0.0;47.5;3;Mar
1972;0.2;42.0;3;Mar
1973;-1.9;89.0;3;Mar
1974;-0.9;40.5;3;Mar
1975;-0.3;135.0;3;Mar
1976;0.0;68.5;3;Mar
1977;-0.1;74.0;3;Mar
1978;-0.7;110.5;3;Mar
1979;-0.6;112.0;3;Mar
1980;-0.5;108.0;3;Mar
1981;-0.5;139.0;3;Mar
1982;0.7;98.0;3;Mar
1983;0.1;72.5;3;Mar
1984;-2.2;81.0;3;Mar
1985;-0.1;39.0;3;Mar
1986;-0.4;87.5;3;Mar
1987;-0.1;82.5;3;Mar
1988;-0.1;66.5;3;Mar
1989;2.4;64.0;3;Mar
1990;2.9;77.5;3;Mar
1991;0.3;60.5;3;Mar
1992;1.0;52.5;3;Mar
1993;1.3;45.0;3;Mar
1994;-0.5;156.5;3;Mar
1995;0.9;50.0;3;Mar
1996;0.5;73.0;3;Mar
1997;0.2;59.5;3;Mar
1998;1.6;83.0;3;Mar
1999;-0.5;86.0;3;Mar
2000;0.2;103.0;3;Mar
2001;0.2;83.0;3;Mar
2002;2.5;45.0;3;Mar
2003;0.7;65.0;3;Mar
2004;0.7;42.5;3;Mar
2005;0.1;124.0;3;Mar
2006;1.3;116.5;3;Mar
2007;0.9;91.0;3;Mar
2008;3.3;32.0;3;Mar
2009;1.5;79.0;3;Mar
2010;-0.1;79.5;3;Mar
2011;0.7;60.5;3;Mar
2012;0.1;44.5;3;Mar
2013;0.0;108.0;3;Mar
2014;0.5;64.0;3;Mar
2015;3.8;125.5;3;Mar
2016;2.1;60.5;3;Mar
2017;1.4;75.5;3;Mar
2018;2.4;115.5;3;Mar
2019;2.5;39.0;3;Mar
2020;3.3;107.5;3;Mar
1877;6.6;39.1;4;Apr
1878;5.3;18.9;4;Apr
1879;3.5;65.5;4;Apr
1880;5.3;30.7;4;Apr
1881;3.2;42.3;4;Apr
1882;6.3;120.1;4;Apr
1883;3.3;36.4;4;Apr
1884;3.4;23.6;4;Apr
1885;3.2;17.7;4;Apr
1886;7.2;11.0;4;Apr
1887;4.6;77.3;4;Apr
1888;6.2;52.1;4;Apr
1889;4.6;79.8;4;Apr
1890;6.9;169.1;4;Apr
1891;5.0;29.5;4;Apr
1892;4.8;51.7;4;Apr
1893;4.9;49.2;4;Apr
1894;6.2;46.0;4;Apr
1895;5.1;35.9;4;Apr
1896;5.6;30.6;4;Apr
1897;3.3;96.0;4;Apr
1898;4.8;23.7;4;Apr
1899;5.6;54.0;4;Apr
1900;4.9;39.8;4;Apr
1901;6.9;21.5;4;Apr
1902;4.3;93.9;4;Apr
1903;7.5;8.9;4;Apr
1904;6.1;32.9;4;Apr
1905;2.9;53.9;4;Apr
1906;5.2;41.1;4;Apr
1907;5.8;50.4;4;Apr
1908;5.0;34.7;4;Apr
1909;6.4;126.4;4;Apr
1910;5.5;45.4;4;Apr
1911;5.2;66.2;4;Apr
1912;4.8;57.3;4;Apr
1913;5.7;26.6;4;Apr
1914;4.8;71.1;4;Apr
1915;4.0;72.2;4;Apr
1916;4.1;63.4;4;Apr
1917;4.9;75.4;4;Apr
1918;5.2;57.4;4;Apr
1919;4.9;41.2;4;Apr
1920;6.4;47.1;4;Apr
1921;6.8;89.7;4;Apr
1922;6.4;77.0;4;Apr
1923;4.7;49.4;4;Apr
1924;6.6;40.5;4;Apr
1925;5.0;33.2;4;Apr
1926;3.3;59.5;4;Apr
1927;7.0;40.6;4;Apr
1928;5.7;16.4;4;Apr
1929;3.7;89.5;4;Apr
1930;5.7;22.1;4;Apr
1931;4.3;109.8;4;Apr
1932;5.4;113.3;4;Apr
